"","Tm","Year","Player","Pos","Age","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","eFG.","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PTS","All.Star","prevAS","W.L.","conf","tv","prop.G","tvf","big.m","med.m","small.m","east"
"1","ATL",2017,"Kris Humphries","PF",31,56,689,13.6,0.514,0.252,0.383,9.7,23,16.4,6.4,1.1,2.6,10.1,17.6,0.6,1.1,1.6,0.115,-3,0.3,-2.7,-0.1,87,214,0.407,19,54,0.352,68,160,0.451,64,82,60,146,3.67857142857143,0.517857142857143,15,21,28,4.58928571428571,0,0,0.524,"east",2.341,0.682926829268293,"med",0,1,0,1
"2","ATL",2011,"Josh Smith","PF",25,77,2645,19.2,0.54,0.148,0.304,6.2,23.7,15,17.1,2,3.5,14.3,24.7,1.9,4.5,6.4,0.116,0.2,3,3.1,3.4,497,1041,0.477,51,154,0.331,446,887,0.502,229,316,134,523,8.53246753246753,3.31168831168831,99,120,197,16.5454545454545,0,0,0.537,"east",2.341,0.939024390243902,"med",0,1,0,1
"3","ATL",2017,"Tim Hardaway","SG",24,79,2154,15.2,0.568,0.457,0.235,1.8,9.5,5.7,14.3,1.3,0.6,9.5,22.5,2.7,2.1,4.8,0.107,1.3,-1.5,-0.3,0.9,415,912,0.455,149,417,0.357,266,495,0.537,164,214,35,189,2.83544303797468,2.30379746835443,55,15,106,14.4683544303797,0,0,0.524,"east",2.341,0.963414634146341,"med",0,1,0,1
"4","ATL",2016,"Tiago Splitter","C",31,36,579,13.7,0.571,0.013,0.31,8.7,13.8,11.3,7.9,1.7,1.6,12,15.5,0.9,0.9,1.7,0.144,-1.9,1.1,-0.8,0.2,81,155,0.523,0,2,0,81,153,0.523,39,48,45,75,3.33333333333333,0.833333333333333,20,12,24,5.58333333333333,0,0,0.585,"east",2.341,0.439024390243902,"med",0,1,0,1
"5","ATL",2017,"Malcolm Delaney","PG",27,73,1248,7.5,0.456,0.284,0.24,1,9.8,5.5,23.1,1.5,0.1,18.1,18.3,-1.1,1.3,0.1,0.005,-4.6,-1.2,-5.8,-1.2,145,388,0.374,26,110,0.236,119,278,0.407,75,93,11,113,1.6986301369863,2.64383561643836,39,1,95,5.35616438356164,0,0,0.524,"east",2.341,0.890243902439024,"med",0,1,0,1
"6","ATL",2019,"John Collins","PF",21,61,1829,21.8,0.627,0.19,0.32,12.3,22.1,17.1,11,0.6,1.8,11.2,23.7,5,1,6,0.158,2.6,-1.2,1.4,1.6,465,831,0.56,55,158,0.348,410,673,0.593,203,266,219,376,9.75409836065574,1.98360655737705,22,39,120,19.4754098360656,0,0,0.354,"east",2.341,0.74390243902439,"med",0,1,0,1
"7","ATL",2019,"Taurean Waller-Prince","SF",24,55,1552,11.9,0.575,0.53,0.195,1.5,12.3,6.7,11.1,1.6,1.1,13.4,19.5,0.8,0.7,1.5,0.047,-0.4,-1.5,-1.9,0,262,594,0.441,123,315,0.39,139,279,0.545,95,116,22,177,3.61818181818182,2.14545454545455,53,19,100,13.4909090909091,0,0,0.354,"east",2.341,0.670731707317073,"med",0,1,0,1
"8","ATL",2018,"DeAndre' Bembry","SF",23,26,455,7.6,0.477,0.234,0.258,2,15.7,8.8,15.9,2.3,2.3,24.8,18.2,-0.9,0.5,-0.4,-0.04,-5.9,1.5,-4.4,-0.3,53,128,0.414,11,30,0.367,42,98,0.457,19,33,8,64,2.76923076923077,1.88461538461538,21,12,47,5.23076923076923,0,0,0.293,"east",2.341,0.317073170731707,"med",0,1,0,1
"9","ATL",2011,"Jason Collins","C",32,49,593,5.4,0.539,0.014,0.577,6.1,14.5,10.4,5.3,0.8,1.2,22.6,9.2,0.1,0.5,0.6,0.049,-4.4,0.5,-3.9,-0.3,34,71,0.479,1,1,1,33,70,0.486,27,41,30,72,2.08163265306122,0.448979591836735,9,9,26,1.95918367346939,0,0,0.537,"east",2.341,0.597560975609756,"med",0,1,0,1
"10","ATL",2019,"Alex Len","C",25,77,1544,17.2,0.575,0.315,0.333,10.5,18.5,14.4,8.6,0.8,3.9,11.5,22.1,2.2,1,3.2,0.1,-0.1,-0.8,-0.9,0.4,320,648,0.494,74,204,0.363,246,444,0.551,140,216,158,266,5.50649350649351,1.11688311688312,27,69,97,11.0909090909091,0,0,0.354,"east",2.341,0.939024390243902,"med",0,1,0,1
